  Exchange Server 2019 CU15 Sep25HU,"September 8, 2025",15.2.1748.37,15.02.1748.037
   Exchange Server 2019 CU15 Aug25SU,"August 12, 2025",15.2.1748.36,15.02.1748.036
   Exchange Server 2019 CU15 May25HU,"May 29, 2025",15.2.1748.26,15.02.1748.026
   Exchange Server 2019 CU15 Apr25HU,"April 18, 2025",15.2.1748.24,15.02.1748.024
Exchange Server 2019 CU15 (2025H1),"February 10, 2025",15.2.1748.10,15.02.1748.010
   Exchange Server 2019 CU14 Sep25HU,"September 8, 2025",15.2.1544.34,15.02.1544.034
   Exchange Server 2019 CU14 Aug25SU,"August 12, 2025",15.2.1544.33,15.02.1544.033
   Exchange Server 2019 CU14 May25HU,"May 29, 2025",15.2.1544.27,15.02.1544.027
   Exchange Server 2019 CU14 Apr25HU,"April 18, 2025",15.2.1544.25,15.02.1544.025
   Exchange Server 2019 CU14 Nov24SUv2,"November 27, 2024",15.2.1544.14,15.02.1544.014
   Exchange Server 2019 CU14 Nov24SU,"November 12, 2024",15.2.1544.13,15.02.1544.013
   Exchange Server 2019 CU14 Apr24HU,"April 23, 2024",15.2.1544.11,15.02.1544.011
   Exchange Server 2019 CU14 Mar24SU,"March 12, 2024",15.2.1544.9,15.02.1544.009
Exchange Server 2019 CU14 (2024H1),"February 13, 2024",15.2.1544.4,15.02.1544.004
   Exchange Server 2019 CU13 Nov24SUv2,"November 27, 2024",15.2.1258.39,15.02.1258.039
   Exchange Server 2019 CU13 Nov24SU,"November 12, 2024",15.2.1258.38,15.02.1258.038
   Exchange Server 2019 CU13 Apr24HU,"April 23, 2024",15.2.1258.34,15.02.1258.034
   Exchange Server 2019 CU13 Mar24SU,"March 12, 2024",15.2.1258.32,15.02.1258.032
   Exchange Server 2019 CU13 Nov23SU,"November 14, 2023",15.2.1258.28,15.02.1258.028
   Exchange Server 2019 CU13 Oct23SU,"October 10, 2023",15.2.1258.27,15.02.1258.027
   Exchange Server 2019 CU13 Aug23SUv2,"August 15, 2023",15.2.1258.25,15.02.1258.025
   Exchange Server 2019 CU13 Aug23SU,"August 8, 2023",15.2.1258.23,15.02.1258.023
   Exchange Server 2019 CU13 Jun23SU,"June 13, 2023",15.2.1258.16,15.02.1258.016
Exchange Server 2019 CU13 (2023H1),"May 3, 2023",15.2.1258.12,15.02.1258.012
   Exchange Server 2019 CU12 Nov23SU,"November 14, 2023",15.2.1118.40,15.02.1118.040
   Exchange Server 2019 CU12 Oct23SU,"October 10, 2023",15.2.1118.39,15.02.1118.039
   Exchange Server 2019 CU12 Aug23SUv2,"August 15, 2023",15.2.1118.37,15.02.1118.037
   Exchange Server 2019 CU12 Aug23SU,"August 8, 2023",15.2.1118.36,15.02.1118.036
   Exchange Server 2019 CU12 Jun23SU,"June 13, 2023",15.2.1118.30,15.02.1118.030
   Exchange Server 2019 CU12 Mar23SU,"March 14, 2023",15.2.1118.26,15.02.1118.026
   Exchange Server 2019 CU12 Feb23SU,"February 14, 2023",15.2.1118.25,15.02.1118.025
   Exchange Server 2019 CU12 Jan23SU,"January 10, 2023",15.2.1118.21,15.02.1118.021
   Exchange Server 2019 CU12 Nov22SU,"November 8, 2022",15.2.1118.20,15.02.1118.020
   Exchange Server 2019 CU12 Oct22SU,"October 11, 2022",15.2.1118.15,15.02.1118.015
   Exchange Server 2019 CU12 Aug22SU,"August 9, 2022",15.2.1118.12,15.02.1118.012
   Exchange Server 2019 CU12 May22SU,"May 10, 2022",15.2.1118.9,15.02.1118.009
Exchange Server 2019 CU12 (2022H1),"April 20, 2022",15.2.1118.7,15.02.1118.007
   Exchange Server 2019 CU11 Mar23SU,"March 14, 2023",15.2.986.42,15.02.0986.042
   Exchange Server 2019 CU11 Feb23SU,"February 14, 2023",15.2.986.41,15.02.0986.041
   Exchange Server 2019 CU11 Jan23SU,"January 10, 2023",15.2.986.37,15.02.0986.037
   Exchange Server 2019 CU11 Nov22SU,"November 8, 2022",15.2.986.36,15.02.0986.036
   Exchange Server 2019 CU11 Oct22SU,"October 11, 2022",15.2.986.30,15.02.0986.030
   Exchange Server 2019 CU11 Aug22SU,"August 9, 2022",15.2.986.29,15.02.0986.029
   Exchange Server 2019 CU11 May22SU,"May 10, 2022",15.2.986.26,15.02.0986.026
   Exchange Server 2019 CU11 Mar22SU,"March 8, 2022",15.2.986.22,15.02.0986.022
   Exchange Server 2019 CU11 Jan22SU,"January 11, 2022",15.2.986.15,15.02.0986.015
   Exchange Server 2019 CU11 Nov21SU,"November 9, 2021",15.2.986.14,15.02.0986.014
   Exchange Server 2019 CU11 Oct21SU,"October 12, 2021",15.2.986.9,15.02.0986.009
Exchange Server 2019 CU11,"September 28, 2021",15.2.986.5,15.02.0986.005
   Exchange Server 2019 CU10 Mar22SU,"March 8, 2022",15.2.922.27,15.02.0922.027
   Exchange Server 2019 CU10 Jan22SU,"January 11, 2022",15.2.922.20,15.02.0922.020
   Exchange Server 2019 CU10 Nov21SU,"November 9, 2021",15.2.922.19,15.02.0922.019
   Exchange Server 2019 CU10 Oct21SU,"October 12, 2021",15.2.922.14,15.02.0922.014
   Exchange Server 2019 CU10 Jul21SU,"July 13, 2021",15.2.922.13,15.02.0922.013
Exchange Server 2019 CU10,"June 29, 2021",15.2.922.7,15.02.0922.007
   Exchange Server 2019 CU9 Jul21SU,"July 13, 2021",15.2.858.15,15.02.0858.015
   Exchange Server 2019 CU9 May21SU,"May 11, 2021",15.2.858.12,15.02.0858.012
   Exchange Server 2019 CU9 Apr21SU,"April 13, 2021",15.2.858.10,15.02.0858.010
Exchange Server 2019 CU9,"March 16, 2021",15.2.858.5,15.02.0858.005
   Exchange Server 2019 CU8 May21SU,"May 11, 2021",15.2.792.15,15.02.0792.015
   Exchange Server 2019 CU8 Apr21SU,"April 13, 2021",15.2.792.13,15.02.0792.013
   Exchange Server 2019 CU8 Mar21SU,"March 2, 2021",15.2.792.10,15.02.0792.010
Exchange Server 2019 CU8,"December 15, 2020",15.2.792.3,15.02.0792.003
   Exchange Server 2019 CU7 Mar21SU,"March 2, 2021",15.2.721.13,15.02.0721.013
Exchange Server 2019 CU7,"September 15, 2020",15.2.721.2,15.02.0721.002
   Exchange Server 2019 CU6 Mar21SU,"March 2, 2021",15.2.659.12,15.02.0659.012
Exchange Server 2019 CU6,"June 16, 2020",15.2.659.4,15.02.0659.004
   Exchange Server 2019 CU5 Mar21SU,"March 2, 2021",15.2.595.8,15.02.0595.008
Exchange Server 2019 CU5,"March 17, 2020",15.2.595.3,15.02.0595.003
   Exchange Server 2019 CU4 Mar21SU,"March 2, 2021",15.2.529.13,15.02.0529.013
Exchange Server 2019 CU4,"December 17, 2019",15.2.529.5,15.02.0529.005
   Exchange Server 2019 CU3 Mar21SU,"March 2, 2021",15.2.464.15,15.02.0464.015
Exchange Server 2019 CU3,"September 17, 2019",15.2.464.5,15.02.0464.005
   Exchange Server 2019 CU2 Mar21SU,"March 2, 2021",15.2.397.11,15.02.0397.011
Exchange Server 2019 CU2,"June 18, 2019",15.2.397.3,15.02.0397.003
   Exchange Server 2019 CU1 Mar21SU,"March 2, 2021",15.2.330.11,15.02.0330.011
Exchange Server 2019 CU1,"February 12, 2019",15.2.330.5,15.02.0330.005
   Exchange Server 2019 RTM Mar21SU,"March 2, 2021",15.2.221.18,15.02.0221.018
Exchange Server 2019 RTM,"October 22, 2018",15.2.221.12,15.02.0221.012
Exchange Server 2019 Preview,"July 24, 2018",15.2.196.0,15.02.0196.000
 Exchange Server 2016 CU23 Sep25HU,"September 8, 2025",15.1.2507.59,15.01.2507.059
   Exchange Server 2016 CU23 Aug25SU,"August 12, 2025",15.1.2507.58,15.01.2507.058
   Exchange Server 2016 CU23 May25HU,"May 29, 2025",15.1.2507.57,15.01.2507.057
   Exchange Server 2016 CU23 Apr25HU,"April 18, 2025",15.1.2507.55,15.01.2507.055
   Exchange Server 2016 CU23 Nov24SUv2,"November 27, 2024",15.1.2507.44,15.01.2507.044
   Exchange Server 2016 CU23 Nov24SU,"November 12, 2024",15.1.2507.43,15.01.2507.043
   Exchange Server 2016 CU23 Apr24HU,"April 23, 2024",15.1.2507.39,15.01.2507.039
   Exchange Server 2016 CU23 Mar24SU,"March 12, 2024",15.1.2507.37,15.01.2507.037
   Exchange Server 2016 CU23 Nov23SU,"November 14, 2023",15.1.2507.35,15.01.2507.035
   Exchange Server 2016 CU23 Oct23SU,"October 10, 2023",15.1.2507.34,15.01.2507.034
   Exchange Server 2016 CU23 Aug23SUv2,"August 15, 2023",15.1.2507.32,15.01.2507.032
   Exchange Server 2016 CU23 Aug23SU,"August 8, 2023",15.1.2507.31,15.01.2507.031
   Exchange Server 2016 CU23 Jun23SU,"June 13, 2023",15.1.2507.27,15.01.2507.027
   Exchange Server 2016 CU23 Mar23SU,"March 14, 2023",15.1.2507.23,15.01.2507.023
   Exchange Server 2016 CU23 Feb23SU,"February 14, 2023",15.1.2507.21,15.01.2507.021
   Exchange Server 2016 CU23 Jan23SU,"January 10, 2023",15.1.2507.17,15.01.2507.017
   Exchange Server 2016 CU23 Nov22SU,"November 8, 2022",15.1.2507.16,15.01.2507.016
   Exchange Server 2016 CU23 Oct22SU,"October 11, 2022",15.1.2507.13,15.01.2507.013
   Exchange Server 2016 CU23 Aug22SU,"August 9, 2022",15.1.2507.12,15.01.2507.012
   Exchange Server 2016 CU23 May22SU,"May 10, 2022",15.1.2507.9,15.01.2507.009
Exchange Server 2016 CU23 (2022H1),"April 20, 2022",15.1.2507.6,15.01.2507.006
   Exchange Server 2016 CU22 Nov22SU,"November 8, 2022",15.1.2375.37,15.01.2375.037
   Exchange Server 2016 CU22 Oct22SU,"October 11, 2022",15.1.2375.32,15.01.2375.032
   Exchange Server 2016 CU22 Aug22SU,"August 9, 2022",15.1.2375.31,15.01.2375.031
   Exchange Server 2016 CU22 May22SU,"May 10, 2022",15.1.2375.28,15.01.2375.028
   Exchange Server 2016 CU22 Mar22SU,"March 8, 2022",15.1.2375.24,15.01.2375.024
   Exchange Server 2016 CU22 Jan22SU,"January 11, 2022",15.1.2375.18,15.01.2375.018
   Exchange Server 2016 CU22 Nov21SU,"November 9, 2021",15.1.2375.17,15.01.2375.017
   Exchange Server 2016 CU22 Oct21SU,"October 12, 2021",15.1.2375.12,15.01.2375.012
Exchange Server 2016 CU22,"September 28, 2021",15.1.2375.7,15.01.2375.007
   Exchange Server 2016 CU21 Mar22SU,"March 8, 2022",15.1.2308.27,15.01.2308.027
   Exchange Server 2016 CU21 Jan22SU,"January 11, 2022",15.1.2308.21,15.01.2308.021
   Exchange Server 2016 CU21 Nov21SU,"November 9, 2021",15.1.2308.20,15.01.2308.020
   Exchange Server 2016 CU21 Oct21SU,"October 12, 2021",15.1.2308.15,15.01.2308.015
   Exchange Server 2016 CU21 Jul21SU,"July 13, 2021",15.1.2308.14,15.01.2308.014
Exchange Server 2016 CU21,"June 29, 2021",15.1.2308.8,15.01.2308.008
   Exchange Server 2016 CU20 Jul21SU,"July 13, 2021",15.1.2242.12,15.01.2242.012
   Exchange Server 2016 CU20 May21SU,"May 11, 2021",15.1.2242.10,15.01.2242.010
   Exchange Server 2016 CU20 Apr21SU,"April 13, 2021",15.1.2242.8,15.01.2242.008
Exchange Server 2016 CU20,"March 16, 2021",15.1.2242.4,15.01.2242.004
   Exchange Server 2016 CU19 May21SU,"May 11, 2021",15.1.2176.14,15.01.2176.014
   Exchange Server 2016 CU19 Apr21SU,"April 13, 2021",15.1.2176.12,15.01.2176.012
   Exchange Server 2016 CU19 Mar21SU,"March 2, 2021",15.1.2176.9,15.01.2176.009
Exchange Server 2016 CU19,"December 15, 2020",15.1.2176.2,15.01.2176.002
   Exchange Server 2016 CU18 Mar21SU,"March 2, 2021",15.1.2106.13,15.01.2106.013
Exchange Server 2016 CU18,"September 15, 2020",15.1.2106.2,15.01.2106.002
   Exchange Server 2016 CU17 Mar21SU,"March 2, 2021",15.1.2044.13,15.01.2044.013
Exchange Server 2016 CU17,"June 16, 2020",15.1.2044.4,15.01.2044.004
   Exchange Server 2016 CU16 Mar21SU,"March 2, 2021",15.1.1979.8,15.01.1979.008
Exchange Server 2016 CU16,"March 17, 2020",15.1.1979.3,15.01.1979.003
   Exchange Server 2016 CU15 Mar21SU,"March 2, 2021",15.1.1913.12,15.01.1913.012
Exchange Server 2016 CU15,"December 17, 2019",15.1.1913.5,15.01.1913.005
   Exchange Server 2016 CU14 Mar21SU,"March 2, 2021",15.1.1847.12,15.01.1847.012
Exchange Server 2016 CU14,"September 17, 2019",15.1.1847.3,15.01.1847.003
   Exchange Server 2016 CU13 Mar21SU,"March 2, 2021",15.1.1779.8,15.01.1779.008
Exchange Server 2016 CU13,"June 18, 2019",15.1.1779.2,15.01.1779.002
   Exchange Server 2016 CU12 Mar21SU,"March 2, 2021",15.1.1713.10,15.01.1713.010
Exchange Server 2016 CU12,"February 12, 2019",15.1.1713.5,15.01.1713.005
   Exchange Server 2016 CU11 Mar21SU,"March 2, 2021",15.1.1591.18,15.01.1591.018
Exchange Server 2016 CU11,"October 16, 2018",15.1.1591.10,15.01.1591.010
   Exchange Server 2016 CU10 Mar21SU,"March 2, 2021",15.1.1531.12,15.01.1531.012
Exchange Server 2016 CU10,"June 19, 2018",15.1.1531.3,15.01.1531.003
   Exchange Server 2016 CU9 Mar21SU,"March 2, 2021",15.1.1466.16,15.01.1466.016
Exchange Server 2016 CU9,"March 20, 2018",15.1.1466.3,15.01.1466.003
   Exchange Server 2016 CU8 Mar21SU,"March 2, 2021",15.1.1415.10,15.01.1415.010
Exchange Server 2016 CU8,"December 19, 2017",15.1.1415.2,15.01.1415.002
Exchange Server 2016 CU7,"September 19, 2017",15.1.1261.35,15.01.1261.035
Exchange Server 2016 CU6,"June 27, 2017",15.1.1034.26,15.01.1034.026
Exchange Server 2016 CU5,"March 21, 2017",15.1.845.34,15.01.0845.034
Exchange Server 2016 CU4,"December 13, 2016",15.1.669.32,15.01.0669.032
Exchange Server 2016 CU3,"September 20, 2016",15.1.544.27,15.01.0544.027
Exchange Server 2016 CU2,"June 21, 2016",15.1.466.34,15.01.0466.034
Exchange Server 2016 CU1,"March 15, 2016",15.1.396.30,15.01.0396.030
Exchange Server 2016 RTM,"October 1, 2015",15.1.225.42,15.01.0225.042
Exchange Server 2016 Preview,"July 22, 2015",15.1.225.16,15.01.0225.016
